chunk_id,partial_order,chunk_size,resolution_size
791503,True,12,5
791469,True,2,1
791478,True,6,1
791480,manual,32,22
791487,True,7,6
791489,manual,15,13
791491,manual,17,14
791495,manual,15,13
791498,True,3,1
791482,True,3,1
791488,True,7,6
791490,manual,15,9
791509,True,11,3
791512,True,11,3
791519,manual,23,20
791526,True,4,2
791608,True,2,1
791593,True,3,2
791607,True,18,5
791626,True,31,15
791641,True,5,3
791658,True,7,4
791660,True,20,5
791679,True,6,1
791686,manual,48,16
791647,True,10,5
791695,True,3,2
791702,True,21,13
791706,True,38,37
791720,True,9,6
791722,True,3,2
791729,True,3,2
791735,True,4,2
791739,True,7,4
791757,True,4,2
791775,True,7,6
791779,True,23,21
791798,True,3,1
791851,True,7,4
791869,True,3,2
791910,True,28,25
791960,True,2,1
791980,True,6,3
791981,True,6,3
791983,True,16,8
791988,True,12,6
791991,True,12,6
791995,True,12,6
792002,True,4,2
792009,True,10,5
792013,True,4,2
791843,True,162,81
791862,True,3,1
791864,True,3,1
791900,True,4,3
791922,True,2,1
791925,True,5,4
791926,True,8,7
791928,manual,42,15
791930,True,16,14
791975,True,27,25
791978,manual,158,39
792003,manual,21,9
792019,True,4,3
792020,manual,11,10
792025,manual,124,88
792094,True,4,2
792097,True,4,2
792120,True,15,10
792121,True,4,1
792122,manual,8,12
792178,True,4,2
792200,True,5,3
792202,True,18,17
792299,manual,109,111
792328,True,4,2
792352,True,5,3
792355,True,16,9
792365,True,7,2
792370,manual,3,8
792474,True,5,3
792505,manual,12,10
792629,manual,1,10
792630,True,11,6
792633,True,5,3
792635,True,11,6
792637,True,5,3
792644,manual,31,26
792723,True,16,15
792809,True,4,2
792919,True,46,31
792923,True,5,3
792925,True,22,15
792930,True,17,15
792955,True,28,25
793202,True,17,8
793216,True,62,32
793262,True,69,10
793383,True,4,3
793338,manual,24,10
793401,manual,2,11
793406,True,6,5
793421,True,7,5
793689,True,4,3
793694,True,6,3
793573,True,17,16
793578,True,10,5
793834,True,3,1
793955,True,10,4
793977,True,3,2
793991,True,4,2
794017,True,5,2
794106,True,3,2
794110,True,22,4
794113,True,4,2
794169,manual,6,11
794172,True,4,2
794175,manual,6,9
794179,True,6,3
794182,True,6,3
794185,True,6,3
794240,False,210,143
794331,manual,47,25
794350,manual,45,46
794651,True,4,2
794112,manual,179,185
794129,True,23,15
794141,True,14,9
794150,manual,10,14
794165,manual,37,42
794174,True,10,8
794195,True,41,36
794206,True,41,36
