chunk_id,v1_percentage,v2_percentage,intersection_percentage,chunk_composition,missing_v1_lines,missing_v2_lines,missing_v1_lines_perc,missing_v2_lines_perc,v1_size,v2_size
777705,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777702,0.33,0.67,0.0, v2 v1,2,0,66.67,0.0,3,2
777715,0.6,0.4,0.0, v1 v2,2,0,40.0,0.0,5,2
777717,0.5,0.5,0.0, v1 v2,0,1,0.0,50.0,1,2
777726,0.25,0.75,0.0, v1 v2,1,1,50.0,25.0,2,4
777741,0.33,0.67,0.0, v1 v2,1,1,50.0,33.33,2,3
777744,1.0,0.0,0.0, v1,1,0,33.33,0.0,3,0
777748,0.5,0.5,0.0, v2 v1,1,0,50.0,0.0,2,1
777749,0.0,1.0,0.0, v2,0,1,0.0,50.0,0,2
777775,1.0,0.0,0.0, v1,3,0,75.0,0.0,4,0
777777,0.25,0.75,0.0, v1 v2,3,0,75.0,0.0,4,3
777778,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
777779,0.33,0.67,0.0, v1 v2,2,0,66.67,0.0,3,2
777783,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
777784,0.2,0.8,0.0, v2 v1,1,0,50.0,0.0,2,4
777789,0.5,0.62,0.12, v2 v1 (v1_2) v1 v2 v1,2,3,33.33,37.5,6,8
777790,0.88,0.12,0.0, v1 v2,1,0,12.5,0.0,8,1
777793,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777800,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777803,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777806,0.75,0.75,0.5, v1 (v1_2) v1 v2,1,1,25.0,25.0,4,4
777807,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777808,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777809,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777822,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
777825,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
777826,0.0,1.0,0.0, v2,0,2,0.0,50.0,0,4
777852,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777854,1.0,0.0,0.0, v1,1,4,7.69,100.0,13,4
777856,1.0,0.0,0.0, v1,0,0,0.0,0.0,8,0
777903,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
777947,0.83,1.0,0.83, v2 (v1_2) v1 (v1_2) v1 (v1_2),0,9,0.0,60.0,5,15
777939,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777940,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777942,0.88,0.31,0.19, v2 v1 (v1_2) v1 (v1_2) v2 v1,0,2,0.0,28.57,14,7
777948,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777949,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777950,0.0,1.0,0.0, v2,0,1,0.0,7.69,0,13
777952,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777954,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777955,0.0,1.0,0.0, v2,0,1,0.0,25.0,0,4
777956,0.0,1.0,0.0, v2,0,1,0.0,16.67,0,6
777957,0.0,1.0,0.0, v2,1,1,100.0,50.0,1,2
777958,0.0,1.0,0.0, v2,0,1,0.0,4.35,0,23
777959,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
777962,0.67,0.33,0.0, v2 v1,0,1,0.0,50.0,2,2
777964,0.88,0.12,0.0, v2 v1,0,1,0.0,50.0,7,2
777967,0.94,0.06,0.0, v2 v1,0,1,0.0,50.0,16,2
777972,0.5,0.5,0.0, v2 v1,0,2,0.0,66.67,1,3
777975,0.8,0.2,0.0, v2 v1,0,1,0.0,50.0,4,2
777978,0.9,0.1,0.0, v2 v1,0,2,0.0,66.67,9,3
777981,0.0,1.0,0.0, v2,0,1,0.0,11.11,0,9
778012,0.0,1.0,0.0, v2,0,2,0.0,50.0,0,4
778040,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778046,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778052,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778116,1.0,0.0,0.0, v1,1,0,50.0,0.0,2,0
778117,0.93,0.5,0.43, v2 v1 (v1_2) v2 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1 (v1_2) v1,1,30,3.45,66.67,29,45
778141,0.17,0.83,0.0, v2 v1 v2,2,1,66.67,16.67,3,6
778178,0.0,1.0,0.0, v2,6,18,100.0,81.82,6,22
778209,0.0,1.0,0.0, v2,0,2,0.0,66.67,0,3
778211,0.0,1.0,0.0, v2,0,1,0.0,50.0,0,2
778156,0.0,1.0,0.0, v2,0,27,0.0,96.43,0,28
778189,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
778202,0.0,1.0,0.0, v2,0,1,0.0,33.33,0,3
778294,0.5,0.5,0.0, v1 v2,0,5,0.0,83.33,1,6
778448,0.27,0.94,0.21, v1 (v1_2) v1 (v1_2) v1 (v1_2) v2 (v1_2) v2 v1 v2 v1 v2 (v1_2) v2 (v1_2) v1 (v1_2),137,0,91.33,0.0,150,42
778498,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778518,0.08,0.92,0.0, v2 v1,0,1,0.0,8.33,1,12
778586,0.13,1.0,0.13, (v1_2) v2 (v1_2) v2 (v1_2) v2,2,7,40.0,23.33,5,30
778595,0.29,0.86,0.14, v2 (v1_2) v1 v2,4,1,66.67,14.29,6,7
778599,0.5,0.5,0.0, v1 v2,1,0,50.0,0.0,2,1
778608,0.0,1.0,0.0, v2,0,27,0.0,42.86,0,63
778610,0.0,1.0,0.0, v2,0,8,0.0,61.54,0,13
778412,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778415,0.67,0.33,0.0, v1 v2,1,1,33.33,50.0,3,2
778416,0.71,0.86,0.57, (v1_2) v1 (v1_2) v2 (v1_2) v1,3,12,37.5,66.67,8,18
778423,0.5,0.5,0.0, v1 v2,1,1,50.0,50.0,2,2
778424,0.5,0.5,0.0, v2 v1,0,2,0.0,50.0,2,4
778473,0.5,0.5,0.0, v2 v1,1,1,50.0,50.0,2,2
778476,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778508,-1.0,-1.0,-1.0,,-1,-1,-1.0,-1.0,-1,-1
778702,0.6,0.6,0.2, v2 v1 (v1_2),1,0,25.0,0.0,4,3
778722,0.36,0.64,0.0, v1 v2,12,0,75.0,0.0,16,7
778727,0.11,0.89,0.0, v2 v1,1,0,50.0,0.0,2,8
778729,0.67,0.33,0.0, v2 v1,1,2,33.33,66.67,3,3
778731,0.5,0.5,0.0, v2 v1,1,1,50.0,50.0,2,2
778732,0.2,0.8,0.0, v1 v2,0,1,0.0,20.0,1,5
778739,0.8,0.2,0.0, v1 v2,0,1,0.0,50.0,4,2
