chunk_id,has_duplication,chunk_size,resolution_size
790172,False,21,14
790178,False,17,10
790189,False,17,10
790198,False,14,5
790211,False,11,3
790225,False,11,3
790236,False,11,3
790226,False,15,9
790284,False,31,3
790262,False,75,30
790282,False,13,5
790286,False,13,6
790330,False,15,5
790332,False,54,45
790351,False,25,13
790360,False,13,4
790361,False,17,9
790380,False,11,3
790388,False,12,2
790390,False,19,7
790393,False,45,29
790398,False,16,7
790766,False,30,5
790769,False,10,3
790451,False,29,13
790455,False,9,2
790477,False,33,27
790483,False,9,2
790484,False,12,6
790510,False,10,4
790540,False,19,5
790547,False,25,17
790550,False,12,5
790578,False,17,6
790603,False,15,7
790631,False,10,3
790652,False,19,7
790686,False,126,79
790695,False,161,92
790727,False,39,25
790730,False,259,142
790752,False,18,11
790756,False,12,4
790788,False,9,2
790790,False,14,4
790810,False,10,3
790822,False,9,2
790832,False,70,37
790884,False,10,3
790923,False,9,2
790927,False,9,2
790931,False,36,29
790940,False,11,3
790954,False,11,4
790965,False,15,6
790977,False,15,8
791032,False,12,5
791035,False,102,92
791033,False,32,12
791055,False,16,6
791082,False,12,3
791088,False,1664,822
791365,False,24,15
791115,False,13,8
791313,False,21,14
791320,False,25,12
791331,False,9,2
791352,False,20,13
791354,False,24,12
791355,False,12,4
791369,False,25,12
791380,False,16,3
791387,False,17,8
791400,False,106,94
791417,False,30,12
791424,False,15,6
791432,False,11,3
791433,False,12,3
791436,False,20,8
791438,False,16,5
791440,False,11,4
791441,False,13,3
791443,False,11,3
791453,False,19,5
791458,False,14,3
791503,False,19,6
791469,False,9,2
791478,False,13,2
791480,False,40,18
791487,False,14,7
791489,False,22,9
791491,False,24,10
791495,False,22,9
791498,False,10,2
791482,False,10,2
791488,False,14,7
791490,False,22,6
791509,False,18,4
791512,False,18,4
791519,False,30,15
791526,False,11,3
791608,False,9,2
791593,False,10,3
791607,False,25,6
791626,False,38,16
791641,False,12,4
791658,False,14,5
791660,False,27,6
791679,False,13,2
791686,False,56,11
791647,False,15,6
791695,False,10,3
791702,False,28,14
791706,False,45,38
791720,False,16,7
791722,False,10,3
791729,False,10,3
791735,False,11,3
791739,False,14,5
791757,False,11,3
791775,False,14,7
791779,False,30,22
791798,False,10,2
791851,False,14,5
791869,False,10,3
791910,False,35,26
791960,False,9,2
791980,False,13,4
791981,False,13,4
791983,False,23,9
791988,False,19,7
791991,False,19,7
791995,False,19,7
792002,False,11,3
792009,False,17,6
792013,False,11,3
791843,False,169,82
791862,False,10,2
791864,False,10,2
791900,False,11,4
791922,False,9,2
791925,False,12,5
791926,False,15,8
791928,False,50,10
791930,False,23,15
791975,False,34,26
791978,False,165,34
792003,False,28,6
792019,False,11,4
792020,False,18,5
792025,False,131,85
792094,False,11,3
792097,False,11,3
792120,False,22,11
792121,False,11,2
792122,False,15,7
792178,False,11,3
792200,False,12,4
792202,False,25,18
792299,False,113,107
792328,False,11,3
792352,False,12,4
792355,False,23,10
792365,False,14,3
792370,False,10,3
792474,False,12,4
792505,False,17,6
792629,False,12,5
792630,False,18,7
792633,False,12,4
792635,False,18,7
792637,False,12,4
792644,False,35,23
792723,False,23,16
792809,False,11,3
792919,False,53,32
792923,False,12,4
792925,False,29,16
792930,False,22,16
792955,False,35,26
793202,False,24,9
793216,False,69,33
793262,False,76,11
793383,False,11,4
793338,False,32,5
793401,False,13,6
793406,False,13,6
793421,False,14,6
793689,False,11,4
793694,False,13,4
793573,False,24,17
793578,False,17,6
793834,False,10,2
793955,False,17,5
793977,False,10,3
793991,False,11,3
794017,False,12,3
794106,False,10,3
794110,False,29,5
794113,False,11,3
794169,False,13,7
794172,False,11,3
794175,False,13,4
794179,False,13,4
794182,False,13,4
794185,False,13,4
794240,False,217,144
794331,False,60,22
794350,False,52,41
794651,False,11,3
794112,False,187,180
794129,False,30,16
794141,False,21,10
794150,False,17,14
794165,False,48,37
794174,False,17,9
794195,False,48,37
794206,False,48,37
794236,False,10,3
794282,False,10,2
794283,False,10,2
794389,False,14,5
794478,False,19,11
794486,False,9,2
794492,False,9,2
794494,False,14,8
794498,False,9,2
794521,False,29,15
